City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qui Nhon,13.7667,109.2333,80.17,75,78,5.32,VN,1618531899
Mkushi,-13.6202,29.3939,57.7,83,96,4.65,ZM,1618531906
Avarua,-21.2078,-159.775,84.2,65,14,10.36,CK,1618531913
Faanui,-16.4833,-151.75,82.63,69,33,10.54,PF,1618531919
Bluff,-46.6,168.3333,55.99,69,74,13.0,NZ,1618531926
Snåase,64.2457,12.3778,35.96,99,100,2.04,NO,1618531932
Saint George,37.1041,-113.5841,68.0,14,20,18.41,US,1618531762
Price,39.5994,-110.8107,48.2,34,20,18.41,US,1618531945
Williams Lake,52.1415,-122.1445,66.2,19,20,3.44,CA,1618531952
Ambatondrazaka,-17.8333,48.4167,65.41,98,91,0.45,MG,1618531958
Albany,42.6001,-73.9662,41.0,73,100,4.09,US,1618531965
Kristiansund,63.1115,7.732,37.4,87,94,3.44,NO,1618531757
Ginda,30.6945,78.4932,54.52,32,51,9.19,IN,1618531984
Carnarvon,-24.8667,113.6333,74.43,31,0,16.37,AU,1618531991
Port Hope,43.9408,-82.7127,39.2,93,93,6.91,US,1618531997
Chui,-33.6971,-53.4616,65.59,93,100,3.49,UY,1618531818
Bad Rappenau,49.2406,9.1025,34.0,77,90,5.79,DE,1618532010
Mataura,-46.1927,168.8643,55.99,69,91,13.0,NZ,1618532017
Arai,37.0167,138.25,55.0,46,46,10.22,JP,1618532023
Consolación del Sur,22.5047,-83.5136,78.42,60,27,1.61,CU,1618532036
Semey,50.4111,80.2275,33.8,86,0,4.47,KZ,1618532043
Saskylakh,71.9167,114.0833,1.13,96,97,6.93,RU,1618532049
Port-Gentil,-0.7193,8.7815,82.4,83,40,6.91,GA,1618532056
Hidrolândia,-4.4081,-40.4378,72.45,92,100,2.33,BR,1618532062
New Norfolk,-42.7826,147.0587,55.0,73,44,1.99,AU,1618532069
Villeta,5.0089,-74.4723,60.8,59,20,10.36,CO,1618532082
Nizhniy Odes,63.6445,54.856,27.3,78,35,1.05,RU,1618532088
Rikitea,-23.1203,-134.9692,78.31,72,70,7.99,PF,1618532101
Illapel,-31.6308,-71.1653,67.23,67,1,2.3,CL,1618532109
Araouane,18.9048,-3.5265,85.33,14,15,11.77,ML,1618532115
Polokwane,-23.9045,29.4688,60.8,77,6,3.44,ZA,1618532122
Busselton,-33.65,115.3333,62.01,84,87,3.0,AU,1618532128
Hermanus,-34.4187,19.2345,64.99,63,17,14.0,ZA,1618532003
Kon Tum,14.35,108.0,75.18,75,39,0.98,VN,1618531952
Port Alfred,-33.5906,26.891,64.63,53,92,20.36,ZA,1618532160
Yellowknife,62.456,-114.3525,42.8,52,40,13.8,CA,1618531987
Mount Gambier,-37.8333,140.7667,55.4,62,90,4.61,AU,1618532173
San Luis,-33.295,-66.3356,66.83,60,0,6.38,AR,1618532180
Greymouth,-42.4667,171.2,60.1,83,67,12.64,NZ,1618532186
Ushuaia,-54.8,-68.3,46.4,71,75,6.91,AR,1618531818
Makakilo City,21.3469,-158.0858,82.4,57,75,8.05,US,1618532199
Nanortalik,60.1432,-45.2371,25.75,75,23,45.9,GL,1618532206
Kaitangata,-46.2817,169.8464,49.06,88,73,10.47,NZ,1618532212
Bambous Virieux,-20.3428,57.7575,78.01,100,75,4.61,MU,1618532219
Bredasdorp,-34.5322,20.0403,62.6,67,24,17.27,ZA,1618532225
Bengkulu,-3.8004,102.2655,72.39,93,100,5.97,ID,1618532232
Half Moon Bay,37.4636,-122.4286,64.99,76,1,8.05,US,1618532185
Airai,-8.9266,125.4092,66.81,66,82,2.98,TL,1618532251
Pemberton,50.3164,-122.8027,69.8,16,1,1.66,CA,1618532106
Akdepe,42.0551,59.3788,53.6,37,0,6.91,TM,1618532270
Portland,45.5234,-122.6762,77.0,22,20,10.36,US,1618532012
Amlapura,-8.45,115.6167,82.4,78,20,2.3,ID,1618532283
Cabedelo,-6.9811,-34.8339,75.2,100,20,5.75,BR,1618532290
Alizai,33.5383,70.3462,60.53,72,100,0.76,PK,1618532296
Tasiilaq,65.6145,-37.6368,26.6,100,90,11.34,GL,1618532081
Tual,-5.6667,132.75,83.8,69,87,11.34,ID,1618532309
Muros,42.7762,-9.0603,51.01,61,1,14.0,ES,1618532322
Atuona,-9.8,-139.0333,80.53,70,21,17.11,PF,1618532115
Kapaa,22.0752,-159.319,80.6,57,1,12.66,US,1618532341
Gazimurskiy Zavod,51.5461,118.3266,33.13,47,96,8.61,RU,1618532348
Port Hedland,-20.3167,118.5667,78.8,50,2,12.66,AU,1618532116
Safi,32.2994,-9.2372,62.26,83,1,1.52,MA,1618532361
Harboøre,56.6175,8.1807,37.99,3,12,9.6,DK,1618532374
